"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FCGR3A",2.23882261105983,-0.011652423509137,5.4306317682637,5.61571755905481e-08,0.000337437963055431,7.92718769354553
"ITGAX",2.18039098027342,-0.0133795157787754,5.28889625565428,1.23061163159988e-07,0.000337437963055431,7.20353648754229
"DMBT1",2.1557095191934,-0.0173220027408583,5.22902732009583,1.70410154644777e-07,0.000337437963055431,6.90361575026377
"SLC40A1",2.15347511891064,-0.00565933689557825,5.22360741541083,1.75476720299491e-07,0.000337437963055431,6.87663261745655
"GLRX",2.14302304602661,-0.000565027984683427,5.19825419681823,2.01175798137688e-07,0.000337437963055431,6.75078257963125
"MAN1A1",2.10960037344737,-0.0083965042260988,5.11718201781109,3.1014429465059e-07,0.000337437963055431,6.35246049028199
"TNFSF15",2.10847357915896,-0.0209795016868173,5.11444879328999,3.14668550302829e-07,0.000337437963055431,6.33914076962358
"GLS",2.10365513040018,-0.0293547001507722,5.10276085482899,3.34744554518846e-07,0.000337437963055431,6.28226265807955
"SKIL",2.10331415655682,-0.0168204456401458,5.10193376679765,3.36211128472198e-07,0.000337437963055431,6.27824265212276
"SLC26A2",2.09692668167511,-0.0118671639992888,5.08643989790413,3.64858752979786e-07,0.000337437963055431,6.20305618323087
"ESPL1",2.09308958081983,-0.0310358868022992,5.07713237988115,3.83185891412227e-07,0.000337437963055431,6.1579999155465
"MINPP1",2.0902519911327,-0.0212087752947728,5.07024934027626,3.97307209801491e-07,0.000337437963055431,6.1247332544558
"WBP11",2.0836033463204,-0.0152534440241672,5.05412196084245,4.32388540740184e-07,0.000337437963055431,6.04696420058148
"RNF186",2.07777614126585,-0.0263744307325646,5.03998711838859,4.65577328196469e-07,0.000337437963055431,5.97900724521113
"MORC1",2.0776616481063,0.0103252495650882,5.03970939643492,4.66253421056071e-07,0.000337437963055431,5.97767393067009
"HLA-DQA2",2.07561366269207,0.00252921014456538,5.0347416716154,4.78508145784535e-07,0.000337437963055431,5.95383680588428
"SPSB1",2.06151944386365,-0.0147446918052233,5.00055383013998,5.71675493733634e-07,0.000364325473630573,5.79042749656472
"E2F3",2.06020362105776,-0.0291986966824105,4.99736208591883,5.81215857958904e-07,0.000364325473630573,5.77522858429556
"LPL",2.05260585216784,-0.00693290948416243,4.97893245022652,6.3937804333711e-07,0.000366115462685998,5.68765745294699
"SLC7A7",2.04618824032847,-0.0250201190943504,4.96336547919491,6.92840171247244e-07,0.000366115462685998,5.61394076103183
"APOC2",2.04113767604366,-0.0187294621701354,4.95111450642143,7.37917615463401e-07,0.000366115462685998,5.55608914932874
"ANXA4",2.0373027641552,-0.0182340961362488,4.94181229809681,7.74018938933249e-07,0.000366115462685998,5.51225770267761
"CEACAM4",2.03696445468604,0.00935644637335736,4.94099167294247,7.77284162072952e-07,0.000366115462685998,5.5083949228596
"CASP1",2.03558322575889,-0.0060064254992485,4.93764127543713,7.90753412821416e-07,0.000366115462685998,5.49263086090021
"COPS2",2.03230771635028,-0.00449977951756005,4.92969598965888,8.23599742248275e-07,0.000366115462685998,5.45528999000091
"TPK1",2.02259460140116,-0.0193091331497869,4.90613523484477,9.28910357710329e-07,0.000366115462685998,5.34491384666894
"ABCB1",2.02001369209531,-0.00594268953369582,4.89987481564133,9.59003519082918e-07,0.000366115462685998,5.31567429586298
