"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MTHFD1L",2.17265292917652,-0.0284890106399959,16.2233386705929,3.45978244459472e-59,3.90367253223622e-55,123.686456136738
"KIF14",2.13379819766212,-0.0262374726592421,15.9332079001196,3.73793790060703e-57,2.10875766662745e-53,119.046288126589
"CST1",2.11174320402101,-0.0355861185564244,15.7685218490654,5.13746076309527e-56,1.93219899300013e-52,116.449656826774
"NFE2L3",2.10112235676788,-0.0189561912030482,15.689215301921,1.79736929609699e-55,5.06992944196558e-52,115.208841830166
"CEP55",2.06544080761827,-0.0244684278755689,15.4227788875394,1.15332743561571e-53,2.31540213694337e-50,111.086044919284
"KIF23",2.06487522156108,-0.023277555257638,15.4185556202011,1.23126941608262e-53,2.31540213694337e-50,111.021263233098
"TPX2",2.05789674996699,-0.0283441671588733,15.3664469255478,2.75509744828364e-53,4.44082350128346e-50,110.223415711355
"ECT2",2.05586480290469,-0.0251653454840855,15.3512742466033,3.48148142007361e-53,4.91019435783632e-50,109.991611258309
"STIL",2.04120103016565,-0.0222030312582391,15.2417789157387,1.87161283915517e-52,2.3463786293542e-49,108.32555779333
"ASPM",2.02965306450776,-0.0243540821055385,15.1555495160456,6.97927114556302e-52,7.87471163353876e-49,107.021906946533
"BUB1",2.02604679614476,-0.0277272455577504,15.1286212790482,1.05111955048675e-51,1.07816198983109e-48,106.616310519797
"IQGAP3",2.02366368322103,-0.0266546570295105,15.1108264221096,1.37721757064845e-51,1.23913280562729e-48,106.348678009132
"MKI67",2.02334598190223,-0.0218817182267982,15.1084541260001,1.42769888089646e-51,1.23913280562729e-48,106.313022755536
"CENPF",2.00712832929113,-0.0272198131280886,14.9873558745406,8.90171990949907e-51,7.17415040991986e-48,104.500370810582
"HOXC9",2.00569294028609,-0.0341523789175449,14.9766377328437,1.04596657898887e-50,7.86776060715426e-48,104.340639629658
"EXO1",2.00401221673618,-0.0264173297062665,14.9640876623766,1.26319488615647e-50,8.90789243781463e-48,104.153752671673
"NEK2",2.00300750397069,-0.0235899178492325,14.9565854077632,1.41393001344109e-50,9.38433667156224e-48,104.042109113183
"TROAP",2.00244633260062,-0.023725880614612,14.9523951051766,1.50578175424119e-50,9.43874196283519e-48,103.979776188115
"HELLS",1.99701930496649,-0.0197052732809844,14.9118711420066,2.76513037861206e-50,1.57413394848554e-47,103.377862425793
"GABRD",1.99693836115304,-0.0288772649620173,14.9112667293638,2.79027554459902e-50,1.57413394848554e-47,103.368897279332
"KIF20A",1.9961090395547,-0.0251893883519612,14.9050741318366,3.06138912461417e-50,1.64484064252484e-47,103.277064503453
"CTHRC1",1.98946358125564,-0.0184231882920895,14.8554520688006,6.42717257211769e-50,3.2962630968729e-47,102.542574423825
"COL10A1",1.98215011343802,-0.0301290294131308,14.8008419358758,1.44966942707206e-49,6.96681637180456e-47,101.737083549202
"DTL",1.98195198209448,-0.0218159406348742,14.7993624764351,1.48190723143942e-49,6.96681637180456e-47,101.715303027091
"ARHGAP11A",1.98155490117442,-0.0269940991371159,14.7963974477555,1.54868000470741e-49,6.9895025972455e-47,101.671658588971
"BUB1B",1.97773863506206,-0.0252676610589777,14.7679011441045,2.36442273997664e-49,1.02606852981371e-46,101.252646433165
"DLEU7",1.97313077810908,-0.0253075745701252,14.7334939809125,3.93675109929552e-49,1.64512454271672e-46,100.747796928914
"ANLN",1.96286669141721,-0.0179264706965776,14.6568513877443,1.22039235488241e-48,4.91774533576365e-46,99.6274684072061
"BMP8A",1.96014766263745,-0.0290511931601322,14.6365482255794,1.64527754283589e-48,6.34284105314647e-46,99.3316644551044
"FAM72A",1.95992238303071,-0.0234535561617143,14.6348660483174,1.68647728081533e-48,6.34284105314647e-46,99.307174613449
"MCM10",1.95688479809561,-0.0227575010786822,14.6121842069239,2.35338519107148e-48,8.56556293898694e-46,98.9772377107552
"TMEM26",1.95520790292864,-0.0226331363083352,14.5996627232375,2.82804373203277e-48,9.97150544641431e-46,98.7953156693148
"TRIP13",1.94860189789883,-0.0250573892785702,14.5503352602916,5.82325489040684e-48,1.95696214071667e-45,98.0801645535053
"SDS",1.94848648431673,-0.0267852422361875,14.549473459677,5.89707637900972e-48,1.95696214071667e-45,98.067691653339
"KIF18A",1.94721423343683,-0.0243121928967542,14.5399734808164,6.77522958508931e-48,2.18414044024465e-45,97.9302467577319
"UBE2C",1.94559881414389,-0.0214744921367166,14.5279110414215,8.08009652173347e-48,2.53243691818663e-45,97.7558577594372
"MELK",1.94185694462415,-0.0271455912818847,14.4999702618958,1.21438986157599e-47,3.70323265085457e-45,97.3524684638679
