"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCL1",2.28509846767098,-0.0134084708197933,9.3471948818896,9.00337264745909e-21,1.01585053581281e-16,36.3404746579172
"ADAMDEC1",2.26394500504504,-0.00475719308422637,9.26066664672212,2.03226585642703e-20,1.05615127109219e-16,35.5470240042583
"CXCL5",2.25548888824407,0.00568998173411057,9.22607690242842,2.80816610234562e-20,1.05615127109219e-16,35.2319058827255
"CXCL2",2.23942233258989,0.00157752508707323,9.16035665933823,5.17423704645869e-20,1.27984813059238e-16,34.6364326163423
"CCL20",2.23110664997108,-0.00627521403645836,9.12634136104207,7.08753188915876e-20,1.27984813059238e-16,34.3299010617333
"LY96",2.22699728940534,0.0102233322733124,9.10953202236745,8.27635828470321e-20,1.27984813059238e-16,34.1788433831363
"PLA2G7",2.22567381813929,-0.0217510594392316,9.1041183633854,8.69966478601858e-20,1.27984813059238e-16,34.13025264439
"HLA-DMA",2.224525172264,0.00456582627463082,9.09941982763366,9.08435139730232e-20,1.27984813059238e-16,34.0881039665468
"KYNU",2.21817532605054,0.000237223043350034,9.07344578280937,1.15346371749517e-19,1.27984813059238e-16,33.8554938433003
"BTN2A2",2.21783347994343,0.00416598938865761,9.07204746136808,1.16836620024466e-19,1.27984813059238e-16,33.8429900609405
"FCGR3A",2.21409874011693,-0.011652423509137,9.05677050876174,1.34410389767853e-19,1.27984813059238e-16,33.7065091758222
"PLEK",2.21266149215134,-0.000182680675580044,9.05089144621016,1.41848471650705e-19,1.27984813059238e-16,33.6540482355906
"LST1",2.21162546721969,0.00454572810524168,9.04665358640863,1.47461009462918e-19,1.27984813059238e-16,33.6162534520961
"C1QC",2.20787187446827,-0.00090770552260726,9.0312995159162,1.69695606729322e-19,1.36762537909067e-16,33.4794684767921
"FPR1",2.19729018585577,0.0135163036024763,8.98801512049961,2.51808986003541e-19,1.69884030865903e-16,33.095111087203
"SLAMF8",2.1961938915115,-0.00377486483528891,8.98353072867635,2.62290680083906e-19,1.69884030865903e-16,33.0553960843596
"IGSF6",2.19614312947879,-0.00764076574482233,8.98332308659045,2.62786322308607e-19,1.69884030865903e-16,33.0535576292583
"LCN2",2.19531347915034,0.00897194712890573,8.97992940206717,2.71019458972459e-19,1.69884030865903e-16,33.0235160988676
"PIM2",2.19026396747139,0.00719417135888106,8.9592743754286,3.26916292485224e-19,1.94136659374252e-16,32.8409187223947
"FGR",2.18694068834615,0.00646601947246832,8.94568050274873,3.69771034774964e-19,2.06945151496355e-16,32.7209737525306
"HLA-DMB",2.18463380226839,0.00141649554628182,8.93624418565157,4.02736726432003e-19,2.06945151496355e-16,32.6378198954553
