"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LCN2",1.91306628705894,0.00897194712890573,6.68874024733789,2.25120430117195e-11,2.54003381301231e-07,15.2994246481759
"ADAMDEC1",1.83658004787183,-0.00475719308422637,6.42131794740032,1.35110037335048e-10,7.62223275625676e-07,13.6111216251666
"CCL20",1.81622473036891,-0.00627521403645836,6.35014872950647,2.15122893212432e-10,7.98365450459305e-07,13.1734170090444
"CXCL1",1.80411512555466,-0.0134084708197933,6.30780937009777,2.83033041020759e-10,7.98365450459305e-07,12.9153359717208
"CTLA4",1.76599698647753,-0.00957591982300713,6.17453519516534,6.63628327121446e-10,1.49754368298225e-06,12.1142293373362
"CXCL2",1.73740716954081,0.00157752508707323,6.07457532419679,1.2432406702373e-09,2.33791408038124e-06,11.5246009299285
"CCL3",1.72264953522768,-0.00790000527651408,6.02297753939788,1.71247599142052e-09,2.76026665874253e-06,11.2240093961581
"PIGR",1.69827868992389,0.00126669408553845,5.93776864990578,2.88943934525974e-09,3.90727952210367e-06,10.7332243304808
"PLA2G7",1.6947241607752,-0.0217510594392316,5.92534078876056,3.11668135238261e-09,3.90727952210367e-06,10.662226825289
"NFKBIZ",1.68572449816892,0.010711270089884,5.89387486105364,3.77263929868205e-09,4.25666892070295e-06,10.4831343428813
"SERPINA3",1.66080391304856,0.00632362620116061,5.80674389135893,6.37028091472166e-09,6.53417086916404e-06,9.99219308034774
"LTF",1.65657168439423,0.0226101862214561,5.79194655875853,6.95789066818114e-09,6.54215670075731e-06,9.90954351907197
"HLA-DMA",1.64989942753134,0.00456582627463082,5.76861804509372,7.99283173233917e-09,6.75598224469632e-06,9.77967189443756
"HLA-DMB",1.64713447808042,0.00141649554628182,5.7589508271832,8.46426628411197e-09,6.75598224469632e-06,9.72600735668574
"CD28",1.64426743844062,0.00423582533284857,5.74892666672459,8.98163021097623e-09,6.75598224469632e-06,9.67045641839053
"HLA-DRA",1.62973298726564,0.00562301546979464,5.69810920723318,1.21149366864956e-08,8.54330191460811e-06,9.39032994584147
"C3",1.61593900031023,0.000198755903009683,5.64988066630698,1.60566850362944e-08,1.0000813845286e-05,9.12677496886271
"FPR1",1.61527035321671,0.0135163036024763,5.64754284521007,1.62764965173962e-08,1.0000813845286e-05,9.11405638253467
"EBI3",1.61356415757469,0.0028052873798035,5.64157739616222,1.68507188345615e-08,1.0000813845286e-05,9.08162605025632
"LILRB3",1.61024575963283,-0.00258811624785604,5.62997513124303,1.80244013880718e-08,1.0000813845286e-05,9.01865010774845
"UBD",1.60865826677164,-0.00661616942225304,5.62442470810044,1.86135859922898e-08,1.0000813845286e-05,8.98856880831243
"VNN2",1.60625175064926,0.00777165889109427,5.6160106968597,1.95425595870511e-08,1.00226681736681e-05,8.94302447165037
"IFI30",1.59876355021019,-0.0105705518318435,5.58982936273879,2.27303168887031e-08,1.04486429185335e-05,8.80174327926041
"SAA2",1.59720036675763,-0.00358923517603536,5.58436393368186,2.34567671761482e-08,1.04486429185335e-05,8.7723337143106
"CIITA",1.59567382130193,0.000720970676063241,5.57902660371164,2.41879140899592e-08,1.04486429185335e-05,8.74364121827339
"PRRX2",1.59453839588881,0.00837388951952239,5.57505676444891,2.47460276201069e-08,1.04486429185335e-05,8.72231789122971
"TNFAIP2",1.59402314725315,-0.0060981047320871,5.57325527732323,2.50033996986975e-08,1.04486429185335e-05,8.71264651144437
"ICAM1",1.58106163233778,-0.00816644221629696,5.52793734606941,3.240317954088e-08,1.27442961650091e-05,8.4703830747693
"MMP9",1.58051818531145,-0.0134770904298104,5.52603726763414,3.27558795342784e-08,1.27442961650091e-05,8.46026872074353
"LAG3",1.57601688906602,0.00628166035047885,5.51029918183667,3.58239666394136e-08,1.28403111969908e-05,8.37662660702662
"LILRB1",1.5748065089924,-0.00285149666890199,5.50606727520187,3.66954051480404e-08,1.28403111969908e-05,8.35417628314107
"SAA1",1.57422913576451,0.00454248042181932,5.50404857905252,3.71183058259018e-08,1.28403111969908e-05,8.34347314816035
"LTB",1.57120036923738,-0.00322459896178962,5.49345896555775,3.94153432385735e-08,1.28403111969908e-05,8.2873912716358
"E2F8",1.57116934838828,-0.0187840030073497,5.49335050595902,3.94395682658457e-08,1.28403111969908e-05,8.28681743569519
"MICB",1.56916846739192,-0.0168623446372822,5.48635473516893,4.10329848997519e-08,1.28403111969908e-05,8.24982828053216
"KYNU",1.56814145904965,0.000237223043350034,5.4827639594181,4.18749172158202e-08,1.28403111969908e-05,8.23086086413132
"LY96",1.56786206689621,0.0102233322733124,5.48178710798638,4.21068434182984e-08,1.28403111969908e-05,8.2257030281085
"IGSF6",1.56279822532832,-0.00764076574482233,5.46408216951645,4.65327303763715e-08,1.38165472851737e-05,8.13237913705238
"PLEK",1.56123444243342,-0.000182680675580044,5.45861464460214,4.7988382734467e-08,1.386822598297e-05,8.10362046630779
"GPNMB",1.56000363798339,0.00902513669753789,5.45431132729566,4.91650305166003e-08,1.386822598297e-05,8.08100566698568
"HLA-DRB1",1.55823995842431,0.00267921101936042,5.4481448946268,5.08999780779883e-08,1.40074256744864e-05,8.04863091095953
"AQP9",1.55637029129372,0.0106151815475313,5.44160789281454,5.28039556115993e-08,1.41697964005267e-05,8.01435059744546
"BIRC3",1.55292960877875,0.00949191380752831,5.42957807880762,5.6489725253079e-08,1.41697964005267e-05,7.95137330330207
